lat,lon,sub_county,ward,feature,garbage/garbage_type,garbage/garbage_ownership,_capture_the_location_precision,garbage/other_garbage_type,garbage/other_garbage_ownership,comments,description,combined_description
-1.222324,36.8819572,Mathare,Ngei,garbage point,holding ground,community,4.886,,,There's need for proper Waste management practices,,There's need for proper Waste management practices
-1.2221951,36.881778,Kasarani,Kasarani,garbage point,other,private,4.816,Waste water drainage,,,,
-1.2221538,36.8815218,Roysambu,Roysambu,garbage point,bin,private,4.065,,,,,
-1.222095,36.8820345,Dagoretti South,Ng'ando,garbage point,illegal dumping,private,2.34,,,Sensitization of the neighbouring members,,Sensitization of the neighbouring members
-1.2220778,36.8821746,Roysambu,Garden Estate,garbage point,collection point,community,4.836,,,the tonnage estimate is about 100 loads.,,the tonnage estimate is about 100 loads.
-1.2220381,36.882141,Ruaraka,Babadogo,garbage point,holding ground,private,4.502,,,,,
-1.2220127,36.8821794,Kasarani,Ruai,garbage point,bin,private,5.0,,,,,
-1.2220045,36.8820885,Ruaraka,Korogocho,garbage point,holding ground,private,4.54,,,,,
-1.2219618,36.8817059,Dagoretti North,Kawangware,garbage point,holding ground,private,3.86,,,Nice,,Nice
-1.2219214,36.8821421,Kasarani,Njiru,garbage point,other,community,2.158,Drainage,,Drainage,,Drainage
-1.2218913,36.8823122,Dagoretti North,Kawangware,garbage point,bin,private,5.0,,,Good,,Good
-1.2218851,36.8817851,Makadara,Harambee,garbage point,collection point,community,4.988,,,,,
-1.2218511,36.8819643,Roysambu,Garden Estate,garbage point,bin,private,3.79,,,good,,good
-1.221795,36.8820686,Kasarani,Njiru,garbage point,illegal dumping,other,2.496,,roadside damping,Illegal,,Illegal
-1.2217641,36.882136,Kasarani,Njiru,garbage point,illegal dumping,community,3.942,,,Foul odors at the neighborhood,,Foul odors at the neighborhood
-1.221732,36.8820498,Roysambu,Roysambu,garbage point,illegal dumping,public land,4.618,,,need to be cleared,,need to be cleared
-1.2216739,36.8822098,Roysambu,Roysambu,garbage point,holding ground,private,4.278,,,,,
-1.2216712,36.8822012,Roysambu,Roysambu,garbage point,collection point,private,4.75,,,needs maintenance,,needs maintenance
-1.2216605,36.8821245,Roysambu,Roysambu,garbage point,illegal dumping,private,4.42,,,the site to be rehabilitated,,the site to be rehabilitated
-1.2216436,36.8821392,Roysambu,Roysambu,garbage point,illegal dumping,public land,4.416,,,,,
-1.2216183,36.8817108,Roysambu,Roysambu,garbage point,illegal dumping,public land,4.916,,,excavated soil accumulation,,excavated soil accumulation
-1.2216098,36.882103,Roysambu,Garden Estate,garbage point,collection point,community,0.847,,,,,
-1.2215893,36.8820968,Makadara,Maringo/ Hamza,garbage point,collection point,public land,3.882,,,,,
-1.2214698,36.8819343,Roysambu,Roysambu,garbage point,bin,private,4.44,,,well placed,,well placed
-1.2214579,36.8821341,Kibra,Lindi,garbage point,bin,public land,2.3,,,old,,old
-1.2214549,36.8820055,Roysambu,Roysambu,garbage point,illegal dumping,community,4.585,,,,,
-1.2213522,36.8819017,Ruaraka,Babadogo,garbage point,bin,private,4.727,,,,,
-1.2207298,36.9022521,Kasarani,Kasarani,garbage point,bin,public land,3.422,,,,,
-1.2199695,36.8958565,Kasarani,Clay City,garbage point,bin,public land,22.04,,,,,
-1.2166095,36.8256888,Westlands,Karura,garbage point,collection point,public land,1.336,,,To be collected,,To be collected
-1.2164594,36.8253668,Westlands,Karura,garbage point,illegal dumping,private,1.633,,,It should be cleared,,It should be cleared
-1.2154048,36.8256282,Westlands,Karura,garbage point,illegal dumping,private,4.988,,,To be cleared,,To be cleared
-1.2125158,36.8936036,Roysambu,Zimmermann,garbage point,collection point,public land,3.0,,,,,
-1.2115071,36.8952321,Roysambu,Zimmermann,garbage point,illegal dumping,public land,2.0,,,,,
-1.2114173,36.8948977,Roysambu,Zimmermann,garbage point,illegal dumping,public land,2.5,,,alot of garbage burning happens here,,alot of garbage burning happens here
-1.2105532,36.8983116,Roysambu,Zimmermann,garbage point,collection point,public land,4.984,,,it is spacious and easily accessible by collection trucks,,it is spacious and easily accessible by collection trucks
-1.2092494,36.8938204,Roysambu,Zimmermann,garbage point,holding ground,public land,2.5,,,easily accessible,,easily accessible
-1.2051671,36.8952688,Roysambu,Zimmermann,garbage point,illegal dumping,public land,2.0,,,,,
-1.2036125,36.9106787,Roysambu,Githurai,garbage point,holding ground,public land,2.0,,,used as a temporary holding point for cbos to allow sorting before the waste is collected and transported to the final destination,used as a temporary holding point for cbos to allow sorting before the waste is collected and transported to the final destination,used as a temporary holding point for cbos to allow sorting before the waste is collected and transported to the final destination
-1.2032781,36.9052524,Roysambu,Githurai,garbage point,holding ground,public land,4.8,,,used by green army and is easily accessible by truck,,used by green army and is easily accessible by truck
-1.2032345,36.9108607,Roysambu,Githurai,garbage point,illegal dumping,public land,2.0,,,source of the waste is from the surrounding viosks.,,source of the waste is from the surrounding viosks.
-1.2028536,36.9089068,Roysambu,Githurai,garbage point,illegal dumping,private,3.0,,,the source of waste comes from mama mboga and surrounding viosks,,the source of waste comes from mama mboga and surrounding viosks
-1.2027672,36.9089553,Roysambu,Githurai,garbage point,illegal dumping,private,2.5,,,,,
-1.2024336,36.9106351,Roysambu,Githurai,garbage point,holding ground,public land,2.5,,,"used as green army holding point.
it's easily accessible by the loading trucks",,"used as green army holding point.
it's easily accessible by the loading trucks"
-1.2021018,36.8839308,Roysambu,Zimmermann,garbage point,illegal dumping,public land,2.0,,,it's by the river hence contaminating the water,,it's by the river hence contaminating the water
-1.2016774,36.9122082,Roysambu,Githurai,garbage point,bin,community,2.0,,,used by the school and the green army as a collection point,,used by the school and the green army as a collection point
-1.201324,36.907862,Roysambu,Githurai,garbage point,illegal dumping,private,59.70659625,,,the owner of the land needs to face it to prevent further illegal dumping,,the owner of the land needs to face it to prevent further illegal dumping
-1.2010472,36.8890747,Roysambu,Zimmermann,garbage point,illegal dumping,public land,2.55,,,"the waste to be cleared and close the point completely.
community to be engaged on sustainable swm practises.
arrest of culprits dumping illegaly.
regular cleanups and sensitization to be done in the area.",,"the waste to be cleared and close the point completely.
community to be engaged on sustainable swm practises.
arrest of culprits dumping illegaly.
regular cleanups and sensitization to be done in the area."
-1.201045,36.8888492,Roysambu,Zimmermann,garbage point,illegal dumping,public land,2.0,,,"this is the most dumped area in zimmerman, garbage is from surrounding community. enforcement needed",,"this is the most dumped area in zimmerman, garbage is from surrounding community. enforcement needed"
-1.2009908,36.8836081,Roysambu,Zimmermann,garbage point,illegal dumping,private,4.04,,,"there are plans to clear the waste and enforce on any further illegal dumping.
owner to be found and advised on fencing the land.",,"there are plans to clear the waste and enforce on any further illegal dumping.
owner to be found and advised on fencing the land."
-1.1945777,36.9036644,Roysambu,Kahawa,garbage point,illegal dumping,public land,4.9,,,,,
-1.1945074,36.9032894,Roysambu,Kahawa,garbage point,illegal dumping,public land,4.683,,,,,
-1.1913626,36.9059658,Roysambu,Kahawa,garbage point,illegal dumping,public land,3.4,,,,,
-1.1900502,36.906054,Roysambu,Kahawa,garbage point,illegal dumping,public land,4.06,,,,,
-1.1897361,36.9062698,Roysambu,Kahawa,garbage point,illegal dumping,public land,3.42,,,,,
-1.1896052,36.9061369,Roysambu,Kahawa,garbage point,illegal dumping,public land,2.46,,,,,
-1.1889783,36.9061861,Roysambu,Kahawa,garbage point,illegal dumping,public land,2.35,,,,,
-1.1880552,36.9064522,Roysambu,Kahawa,garbage point,illegal dumping,public land,4.22,,,,,
-1.1876168,36.90649,Roysambu,Kahawa,garbage point,illegal dumping,public land,4.2,,,,,
-1.1795689,36.9109738,Roysambu,Kahawa West,garbage point,collection point,public land,4.833,,,needs immediate collection,,needs immediate collection
